City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,13.06,47,0,1.03,CL,1674438643
1,nenjiang,49.1833,125.2167,-31.77,92,85,1.89,CN,1674438644
2,cape town,-33.9258,18.4232,22.43,74,0,3.6,ZA,1674438644
3,vaini,-21.2,-175.2,31.09,74,20,3.09,TO,1674438645
4,mataura,-46.1927,168.8643,17.94,35,12,3.47,NZ,1674438645
5,nelson bay,-32.7167,152.15,24.49,79,79,1.34,AU,1674438645
6,namibe,-15.1961,12.1522,22.34,82,100,2.67,AO,1674438646
7,ulkan,57.243,107.3223,-40.17,96,38,1.58,RU,1674438646
8,umuarama,-23.7664,-53.325,21.76,91,100,1.51,BR,1674438646
9,mar del plata,-38.0023,-57.5575,19.97,82,0,4.92,AR,1674438646
10,ushuaia,-54.8,-68.3,9.81,66,0,2.57,AR,1674438646
11,eston,51.1501,-108.7514,-3.93,84,95,7.91,CA,1674438647
12,georgetown,5.4112,100.3354,27.96,82,20,2.57,MY,1674438647
13,saint-philippe,-21.3585,55.7679,23.77,86,100,1.4,RE,1674438647
14,inzer,54.2167,57.5556,-18.75,98,49,0.94,RU,1674438647
15,rio grande,-32.035,-52.0986,22.45,82,0,2.4,BR,1674438648
16,union city,37.5958,-122.0192,14.07,36,0,6.17,US,1674438648
17,springbok,-29.6643,17.8865,18.62,61,72,1.51,ZA,1674438432
18,kapaa,22.0752,-159.319,26.99,73,75,2.06,US,1674438649
19,albany,42.6001,-73.9662,0.65,90,100,0.75,US,1674438650
20,zhezkazgan,47.8043,67.7144,-18.01,85,20,1.0,KZ,1674438650
21,champerico,14.3,-91.9167,25.91,74,4,3.1,GT,1674438650
22,hobart,-42.8794,147.3294,25.59,52,20,3.6,AU,1674438651
23,rikitea,-23.1203,-134.9692,26.44,76,5,6.78,PF,1674438651
24,baykit,61.67,96.37,-29.49,95,100,1.63,RU,1674438651
25,tiksi,71.6872,128.8694,-31.21,97,100,2.42,RU,1674438651
26,constitucion,-35.3333,-72.4167,15.25,85,0,6.23,CL,1674438652
27,hobe sound,27.0595,-80.1364,23.99,74,0,3.09,US,1674438652
28,cockburn town,21.4612,-71.1419,25.4,76,46,9.32,TC,1674438652
29,komsomolskiy,40.4272,71.7189,-6.88,84,100,0.45,UZ,1674438653
